commit	variant	teacher	student	env_version	steps	task_reward_E	forgetting_score	kl_to_teacher	vs_teacher_gap	status	notes
12f8006	student_zero_shot	Qwen/Qwen3-8B	Qwen/Qwen3-4B-Instruct-2507	countdown-v1	0	0.284	0.9125	0.473		keep	step-0 rollouts from iter01 OPD run; 34% correct zero-shot. base forgetting score from iter08.
12f8006	student_opd	Qwen/Qwen3-8B	Qwen/Qwen3-4B-Instruct-2507	countdown-v1	10	-0.100		0.253		keep	iter01: OPD collapse — renderer mismatch (thinking teacher / instruct student).
3db6039	student_zero_shot	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-4B-Instruct-2507	countdown-v1	0	0.214	0.9125	0.232	-0.183	keep	iter02 step-0; 28% correct zero-shot.
3db6039	student_opd	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-4B-Instruct-2507	countdown-v1	10	0.364		0.144	-0.033	keep	iter02 endpoint after 10 OPD steps; 42% correct, peak 59% at step 8.
06c0fc6	teacher_ref	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	countdown-v1	0	0.397			0.000	keep	iter03: teacher zero-shot eval on 64 problems; 45.3% correct. Anchors vs_teacher_gap.
6947720	student_opd_long	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-4B-Instruct-2507	countdown-v1	30	0.324	0.9125	0.127	-0.073	keep	iter04: 30-step OPD plateau (last-10 mean correct 38.6%). Pure OPD does NOT exceed teacher. iter08 forgetting score 0.9125 = base (no forgetting).
d9422cc	student_rl_only	none	Qwen/Qwen3-4B-Instruct-2507	countdown-v1	30	-0.100	0.300	n/a	-0.497	keep	iter05: RL MATCHED hparams. Catastrophic collapse to 0% by step 7. Last-10 mean=0%. iter08 forgetting=0.30 (catastrophic loss of IF — generates degenerate tokens).
fc1aec7	student_rl_tuned	none	Qwen/Qwen3-4B-Instruct-2507	countdown-v1	30	0.404	0.9125	n/a	+0.007	keep	iter06: TUNED RL (LR=1e-5, gs=8). Last-10 mean=45.6%. Step 28 peak 64.8%. iter08 forgetting=0.9125 = base (NO forgetting despite RL).
ead9d7d	student_opd_then_rl	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-4B-Instruct-2507	countdown-v1	30	0.509	0.9125	n/a	+0.112	keep	iter07: OPD warmstart then TUNED RL. Last-10 mean=55.3%, peak=74.2% at step 25. vs_teacher_gap +0.112. iter08 forgetting=0.9125 (no forgetting). STRONG Claim C support: exceeds teacher by ~10pp AND exceeds RL-from-scratch by ~10pp.
bbe731e	forgetting_eval_iter08	—	—	countdown-v1+ifeval16	—	—	—	—	—	keep	iter08: 16-prompt rule-based instruction-following eval across 4 trained checkpoints + base. Key result: only the collapsed matched-hparams RL run shows forgetting (0.30). Tuned RL preserves IF (0.9125). Refines Claim B: forgetting is tied to training instability, not RL-vs-OPD. OPD's value is robustness without hparam tuning, not catastrophic-forgetting prevention per se.
7d013b6	student_opd_then_rl_seed2	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-4B-Instruct-2507	countdown-v1	30	0.542		n/a	+0.145	keep	iter08: seed-2 replication of iter07. Same hparams (OPD warmstart from 43426da0, LR=1e-5 gs=8), seed=2. Last-10 mean correct=58.4% (vs iter07 55.3%); peak=75.8% at step 7 (vs iter07 74.2% at step 25); final=69.5%. CONFIRMS OPD-then-RL gain is not seed noise.
